file,species,scientific_name,author,licence,source
rauchschwalbe_2.jpg,Rauchschwalbe,Hirundo rustica,Andreas Eichler,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:2013.06.23.-11-Wesenberg-Rauchschwalbe.jpg
rauchschwalbe_3.jpg,Rauchschwalbe,Hirundo rustica,Paul Danese,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:20260508_barn_swallow_bafflin_audubon_PD00191.jpg
rauchschwalbe_4.jpg,Rauchschwalbe,Hirundo rustica,Paul Danese,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:20260817_barn_swallow_rocky_hill_meadows_PD04914.jpg
buntspecht_1.jpg,Buntspecht,Dendrocopos major,Andreas Eichler,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2015.05.08.-04-Kaefertaler_Wald-Mannheim--Buntspecht-Weibchen.jpg
buntspecht_2.jpg,Buntspecht,Dendrocopos major,Gerry Zambonini,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Greater_Spotted_Woodpecker_(41554059345).jpg
buntspecht_3.jpg,Buntspecht,Dendrocopos major,Andrew Bazdyrev,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Dendrocopos_major_108591347.jpg
buntspecht_4.jpg,Buntspecht,Dendrocopos major,Михаил Малышев,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Dendrocopos_major_113378826.jpg
zaunkoenig_1.jpg,Zaunkönig,Troglodytes troglodytes,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Eurasian_wren_2022_04_07.jpg
zaunkoenig_2.jpg,Zaunkönig,Troglodytes troglodytes,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Eurasian_wren_2023_12_31_01.jpg
zaunkoenig_3.jpg,Zaunkönig,Troglodytes troglodytes,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Eurasian_wren_2023_12_31_02.jpg
zaunkoenig_4.jpg,Zaunkönig,Troglodytes troglodytes,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Eurasian_wren_2023_12_31_03.jpg
eisvogel_1.jpg,Eisvogel,Alcedo atthis,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:036_Common_kingfisher_at_Champ-Pittet_Photo_by_Giles_Laurent.jpg
eisvogel_2.jpg,Eisvogel,Alcedo atthis,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:037_Common_kingfisher_taking_off_at_Champ-Pittet_Photo_by_Giles_Laurent.jpg
eisvogel_3.jpg,Eisvogel,Alcedo atthis,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:038_Common_kingfisher_in_flight_at_Champ-Pittet_Photo_by_Giles_Laurent.jpg
eisvogel_4.jpg,Eisvogel,Alcedo atthis,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:082_Wild_Common_Kingfisher_at_Lake_Neuch%C3%A2tel_Photo_by_Giles_Laurent.jpg
stockente_1.jpg,Stockente,Anas platyrhynchos,Flocci Nivis,CC BY 4.0,https://commons.wikimedia.org/wiki/File:20230213_Ort_11_Passau.jpg
stockente_2.jpg,Stockente,Anas platyrhynchos,Paul Danese,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:20230415_mallard_canoe_meadows_PD19765.jpg
stockente_3.jpg,Stockente,Anas platyrhynchos,Paul Danese,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:20250728_mallard_hen_wethersfield_cove_PD202169.jpg
stockente_4.jpg,Stockente,Anas platyrhynchos,Paul Danese,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:20260414_mallard_beaver_brook_open_space_PD04995.jpg
hoeckerschwan_1.jpg,Höckerschwan,Cygnus olor,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:092_Wild_Mute_swan_in_flight_at_Lake_Geneva_during_golden_hour_of_sunset_Photo_by_Giles_Laurent.jpg
